rt @rapplerid: boneka ahok dijual di filipina? @gunromli katakan ya, tapi @toykingdomph menyangkalnya: https:\/\/t.co\/hgns8emg7c https:\/\/t.co\u2026;positif
rt @mrshananto: mari bela ahok. potong video 1jam48menit jd 30detik n bilang itu hina islam adalah jahat. sabar. kmrn gw jg bela hak agus m\u2026;positif
rt @eae18: 28. jangan dikaburkan bahwa pihak yang tak setuju dengan ujaran ahok telah memelintir. tak ada plintiran jika didekati secara il\u2026;positif
rt @detikcom: ahok minta maaf soal al maidah 51, novanto: saya sangat bangga! https:\/\/t.co\/pvgswsbpiq;positif
politikus pdip beri nilai b plus untuk kinerja ahok - detikcom https:\/\/t.co\/uqy8uwd1or;positif
rt @sahara2812: mereka bilang ahok musuh allah, saya bilang \"sejak kapan kejujuran dan keamanahan memusuhi allah? kedengkian kalian itulah;positif
ahok jadi bintang di lubang buaya - https:\/\/t.co\/ejgsawnbga https:\/\/t.co\/rwadn0fwgx;positif
rt @mimi_jemari: anies baswedan bandingkan penertiban rumah ala jokowi dengan ahok https:\/\/t.co\/veeqx6zscd;positif
rt @nasrun1608: @kompascom @marcel_prawira ahok keras kalau yg datang ada niat tipi tipu, kalau datang dgn niat baik, ahok sangat lembut, p\u2026;positif
pendukung ahok-djarot siap jadi relawan jika dibutuhkan: namun ia mengaku belum ada komunikasi dengan pihak t... https:\/\/t.co\/mbdigjibpo;positif
rt @kompascom: ahok bakal bongkar seluruh videotron berbentuk \"billboard\". https:\/\/t.co\/sjmottluua;positif
teman ahok pesan baju kotak-kotak di penjahit langganan jokowi - tribun... https:\/\/t.co\/uphvddpdgx;positif
pendukung ahok-djarot siap jadi relawan jika dibutuhkan https:\/\/t.co\/nbjywb84yt;positif
watak itu beda dengan watuk... https:\/\/t.co\/qdigkeonj1";positif
rt @bangkapos: kisah dn aidit, pria dari pulau yang sama dengan ahok, yusril dan andrea hirata: pada masa orde baru, setiap ... https:\/\/t.c\u2026;positif
pendukung ahok-djarot siap jadi relawan jika dibutuhkan https:\/\/t.co\/mmohihpgla;positif
rt @nusanewscom: \\istana tegaskan independen, eh jokowi dan ahok satu mobil bahas pilgub dki https:\/\/t.co\/nlmnal2klq;positif
rt @singgihwidiyas: dear ahok, seketika saya makin cinta dengan bapak. karena setahu saya pemenang ada karena melewati berbagai ujian. #kam\u2026;positif
rt @prsty_ty: @basuki_btp tak ada jln yg mudah utk mencapai puncak. semangat indonesia ada pd pak ahok maju terus membela yg benar,jujur n\u2026;positif
rt @gerak_kebajikan: #kamiahok \ud83d\udc97\n\nhanura tegaskan tetap dukung ahok, ini alasannya. https:\/\/t.co\/77vdcq8avp;positif
rt @kurawa: kita berikan dukungan moril buat ahok pagi ini dengan menyerukan hestek:\n\n #kamiahok #kamiahok #kamiahok    \n\nterima kasih yah\u2026;positif
rt @chirpstory: 512 views\nahok tersangka? jangan ragu untuk tetap pilih ahok! oleh @partaisocmed\n\nfrom @w1r4guna1 https:\/\/t.co\/mrgntvddf6;positif
tetap ahok! #kamiahok;positif
ahok gubernur cerdas dan menguasai semua lini - 30 sept 2016 https:\/\/t.co\/0garvjs91i lewat @youtube;positif
rt @takviri: teman jokowi seharusnya teman ahok jg\npendukung jokowi seharusnya pendukung ahok jg\n\nbegitu kira2 pesan jokowi ke p\u2026 ;positif
rt @mscendani: kemarin ada yg bilang yang bisa bikin pak jokowi tertawa lepas itu cuma pak ahok https:\/\/t.co\/khldj6xzvq;positif
junjungan : yg selalu didukung, dipuja-puji, dibela, tak pernah mau mengkritik. https:\/\/t.co\/wdbxx1b2rr",;positif
masinton ingin ahok perbaiki gaya komunikasi. https:\/\/t.co\/pqtrzlu2uv;positif
politikus pdip beri nilai b plus untuk kinerja ahok https:\/\/t.co\/tk1qzrpdql;positif
rt @edo_macho: @herryrodin @toni_romdoni  dgn bgtu qt bs tau karakter&amp;positif
jd makin cinta sm pak ahok https:\/\/t.co\/507nnctc9i";positif
rt @thessaness: amin \ud83d\ude4f maju terus pak ahok #kamiahok https:\/\/t.co\/yaagmdgjhd;positif
rt @kangdede78: menerima keluhan warga, jgn nangis bu, pak ahok selalu bersama orng2 yg tulus. https:\/\/t.co\/kxfeuo6ywr;positif
playmfs: #ptl gua orang islam, tapi gua kasihan liat ahok;positif
#infopekerja usai upacara hari pancasila, ahok jadi rebutan https:\/\/t.co\/4xffgwll9e https:\/\/t.co\/2ou2y0zxwo";positif
ahok jadi bintang di lubang buaya: https:\/\/t.co\/2fbs21qf8t via @youtube;positif
rt @abimanyue07: salah satu bukti sayangnya pasukan oranye kepada pak ahok\ncc @tbayupatti :) https:\/\/t.co\/bdiqfivdki;positif
rt @tribunrakyat: bismillah, dukung ahok-djarot,... https:\/\/t.co\/yymqzlux7r;positif
rt @tbayupatti: hebatnya ahok, memenuhi undangan pernikahan meskipun warga depok #namanyabpkitusayanganak https:\/\/t.co\/svda0ktuos;positif
rt @hastagcjr: wah asyik pak ahok tambah ganteng pakai baju ada cinta di sma \ud83d\ude18\nthx pak atas supportnya!\ud83d\ude4c\ud83d\ude18;positif
rt @mochfatahhiday3: \"ahok ibarat ranting' walaupun di pata, ahok tetap mampu tumbu menjadi buah untuk warga dki. @wahhabicc https:\/\/t.co\/q\u2026;positif
#saveahok #kamiahok godbless ahok :);positif
rt @thekion1: #kamiahok ahok pelayan masyarat #kamiahok https:\/\/t.co\/xmeuy1gxgk;positif
ayo dukung ahok djarot untuk transportasi jakarta yang lebih maju dan modern #5kmahok;positif
rt @savicali: buat gw jelas: ahok off-side. bukan pelanggaran yg layak kartu kuning ato merah. dia gw yakini tak punya niat menghina ato me\u2026;positif
kompascom: \"teman ahok\" jadikan penetapan tersangka ahok sebagai pemecut semangat. https:\/\/t.co\/wdeljqwm8s;positif
langsung keinti aja takut ahok memang kan? takut gabisa coba coba nyolong duit rakyat kan? manusia udah kaya masih aja serakah. #kamiahok;positif
masinton ingin ahok perbaiki gaya komunikasi https:\/\/t.co\/watmcqpalo;positif
rt @chbdmn: ahok dikagumi di ln https:\/\/t.co\/wludggl9oi;positif
rt @gunromli: namanya ortu ingin bahagiakan anak, si anak nikah minta kado: ahok datang, meski ktp depok, ahok datang... https:\/\/t.co\/ay9sd\u2026;positif
rt @mamaciaa: kalau ahok yang ngomong dianggap melecehkan. trus dibikin rame.\n\nustad2 berkedok agama buat nipu dsb  kog sapi2 aja  \ud83d\ude01 eh sepi dijabat;negatif
rt @hayked: ini foto setelah ahok bicara almaidah,yg kalian blng melecehkan islam\nmasak habis dilecehin jd kek gini romantisnya? https:\/\/t.\u2026;negatif
pp pemuda muhammadiyah akan laporkan ahok https:\/\/t.co\/blymzzzo9m #metro https:\/\/t.co\/rrd75eznah",;negatif
tidak perlu memakai akun palsu untuk meng-tweet dan membuat trending itu hak anda \ud83d\ude37 mui laporkan ahok;negatif
rt @addiems: lihat fakta ini, koq bisa ada yg menyatakan ahok tak sentuh bidang ekonomi ya? https:\/\/t.co\/uthmad6t4d;negatif
ahok lecehkan al qur'an, dpr minta panwaslu mengambil sikap https:\/\/t.co\/ssayscyjmr;negatif
rt @maspiyungan: ribuan umat islam tandatangani petisi atas pelecehan ahok terhadap al-quran https:\/\/t.co\/frxbfupkyq;negatif
@basuki_btp ko ahok knp banyak yg isengin anda di jakarta,fitnah dan jelek2in,ga da kerjaan ya pesaing politik anda,ga takut kah dgn karma?;negatif
rt @dennyja_world: saya melihat data lsi soal pilkada dki yang mengejutkan (survei okt 2016): ahok potensial kalah!;negatif
harus dilawan!\nklo enggak akan ada penistaan agama islam lagi dan lagi...!!! https:\/\/t.co\/0zjdoktt7r","display_text_range":[0,76],"source":"\u003ca;negatif
@null pp pemuda muhammadiyah akan laporkan ahok mereka menuduh ahok melakukan penistaa  https:\/\/t.co\/iazvevb18w;negatif
rt @dennyja_world: saya melihat data lsi soal pilkada dki yang mengejutkan (survei okt 2016): ahok potensial kalah!;negatif
rt @gunromli: toys kingdom di philippine jual boneka ahok @basuki_btp  \ud83d\ude00\ud83d\udc4d\ud83d\udc4d https:\/\/t.co\/iyffhomdn4;negatif
rt @saya_aal: @dedy_steven80 @ratnaspaet @ghazalisil @ridwankamil @jpnncom :d krn di situ gak ada ahok, oma @ratnaspaet kan timses nya ahok\u2026;negatif
rt @wahju_wibowo: mui laporkan ahok...apakah mui sudah melihat utuh video ahok? kebiasaan buruk yg malas membaca\/melihat secara utuh suatu\u2026;negatif
rt @dennyja_world: saya melihat data lsi soal pilkada dki yang mengejutkan (survei okt 2016): ahok potensial kalah!;negatif
rt @kompascom: waketum gerindra: ahok akan kalah dengan perilakunya sendiri. https:\/\/t.co\/osgdt3k9ht;negatif
yg bilang ahok gak salah cuma iblis https:\/\/t.co\/in3adgftca;negatif
rt @datuakrajoangek: memangnya ahok bicara di hadapan pohon pas di pulau 1000? di depan orang kan?kalau di menista agama, minimal udah dile\u2026;negatif
pp pemuda muhammadiyah akan laporkan ahok https:\/\/t.co\/yqbnw5vzxu;negatif
rt @dpp_fpi: undangan: kpd yth. pimp. ormas islam &amp;negatif
mui laporkan ahok ke polisi https:\/\/t.co\/6l9jw2liz9;negatif
sisi sebelah @temanahok @pandji https:\/\/t.co\/zcfrlzqyro";negatif
rt @rachmatdaradjat: nggak berani. https:\/\/t.co\/vpl61qwd4y;negatif
